dcn_bw_GBps,kv_transfer_time_ms,prefill_ttft_ms_without_kv_transfer,total_ttft_ms_with_kv_transfer,kv_fraction_of_prefill_compute,kv_fraction_of_total_ttft
25.0,191.25,474.453216,665.703216,0.403095592042525,0.28729018488022445
50.0,95.625,474.453216,570.078216,0.2015477960212625,0.1677401404161004
75.0,63.75,474.453216,538.203216,0.13436519734750835,0.11844968239654667
100.0,47.8125,474.453216,522.265716,0.10077389801063125,0.09154822638214298
125.0,38.25,474.453216,512.703216,0.080619118408505,0.07460456421244684
150.0,31.875,474.453216,506.328216,0.06718259867375417,0.06295323664126987
175.0,27.321428571428573,474.453216,501.7746445714286,0.057585084577503574,0.05444959976956212
200.0,23.90625,474.453216,498.35946600000005,0.05038694900531562,0.047969892479176865
225.0,21.25,474.453216,495.703216,0.04478839911583611,0.04286839244553136
250.0,19.125,474.453216,493.578216,0.0403095592042525,0.03874765818271039
300.0,15.9375,474.453216,490.390716,0.03359129933687709,0.03249959568973569
350.0,13.660714285714286,474.453216,488.11393028571433,0.028792542288751787,0.027986733092657437
400.0,11.953125,474.453216,486.406341,0.02519347450265781,0.02457436096623584
