Fusion index,Description,Config,Name,OpType,Count,Bounded-by,Execution time,Compute time,Memory time,ICI/NVLink time,ICI/NVLink outbound traffic,ICI/NVLink inbound traffic,Aggregated DCN time,DCN 0 time,PCIe time,Temporary memory size,Persistent memory size,MXU time,VPU time,Transpose time,Permute time,Bytes accessed,Input Tensor Shapes,Output Tensor Shapes,FLOP Count,Op Name,Op Code,Weight Size,Output Shape,parsed_op_type,dim_labels,tile_shapes,num_tiles,max_vmem_demand_bytes,num_mxu_ops,einsum_B_size,einsum_M_size,einsum_N_size,einsum_K_size,vu_softmax_time_ns,Compute Time (ns),Bytes Accessed,DVFS SA Policy,DVFS SA Voltage (V),DVFS SA Frequency (GHz),DVFS VU Policy,DVFS VU Voltage (V),DVFS VU Frequency (GHz),DVFS SRAM Policy,DVFS SRAM Voltage (V),DVFS SRAM Frequency (GHz),DVFS HBM Policy,DVFS HBM Voltage (V),DVFS HBM Frequency (GHz),DVFS ICI Policy,DVFS ICI Voltage (V),DVFS ICI Frequency (GHz),Vmem time,static_energy_sa_J,static_energy_vu_J,static_energy_sram_J,static_energy_hbm_J,static_energy_ici_J,static_energy_other_J,dynamic_energy_sa_J,dynamic_energy_vu_J,dynamic_energy_sram_J,dynamic_energy_hbm_J,dynamic_energy_ici_J,dynamic_energy_other_J,static_energy_J,dynamic_energy_J,total_energy_J,static_power_W,dynamic_power_W,total_power_W,num_setpm_sa,num_setpm_vu,num_setpm_sram,num_setpm_hbm,num_setpm_ici,tflops_per_sec,hbm_bw_GBps,flops_util,hbm_bw_util,DVFS SA Scaling Time (ns),DVFS SA Power Efficiency (%),DVFS VU Scaling Time (ns),DVFS VU Power Efficiency (%),DVFS SRAM Scaling Time (ns),DVFS SRAM Power Efficiency (%),DVFS HBM Scaling Time (ns),DVFS HBM Power Efficiency (%),DVFS ICI Scaling Time (ns),DVFS ICI Power Efficiency (%),DVFS SA Activity Factor,DVFS VU Activity Factor,DVFS SRAM Activity Factor,DVFS HBM Activity Factor,DVFS ICI Activity Factor
2,PrefillReceiveInputFromPipelineICI,"InterChipCommInput([4, 2048, 640])",PrefillReceiveInputFromPipelineICIreceiveInputICITransfer5242880,ICINoCompute,1,ICI/NVLink,52429,0,3532,52429,0,10485760,0,0,0,0,0,0,0,0,0,10485760,"DT_BFLOAT16:[4,2048,640]","[DT_BFLOAT16:(4,2048,640)]",0,PrefillReceiveInputFromPipelineICIreceiveInputICITransfer5242880,InterChipXferInput,0,[],InterChipCommInput,,,,,0,,,,,0,0,10485760,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,186.26380438307044,0.0,0.06736484787814483,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,Fwd-Attention-encoder-Input_rmsnorm,"RMSNorm(x=4x2048x640,memory_placements=0_0,type=DT_BFLOAT16)",FwdAttentionencoderInputrmsnormXnormRMSNormX,VPU,30,Memory,7064,3012,7064,0,0,0,0,0,0,0,0,0,3012,0,0,20971520,"DT_BFLOAT16:[4,2048,640]","[DT_BFLOAT16:(4,2048,640)]",31457280,FwdAttentionencoderInputrmsnormXnormRMSNormX,RMSNorm,0,[],RMSNorm,,,,,0,,,,,0,3012,20971520,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,4.453182332955832,2764.8994903737257,0.4263540070614881,0.9999636493214198,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,AllGatherMHA-4,AllGather(4x2048x5120->4x2048x40960),AllGatherMHA4AllGather,ICINoCompute,60,ICI/NVLink,2097152,0,565100,2097152,838860800,838860800,0,0,0,0,0,0,0,0,0,1677721600,"DT_BFLOAT16:[4,2048,5120]","[DT_BFLOAT16:(4,2048,40960)]",0,AllGatherMHA4AllGather,AllGather,0,[],AllGather,,,,,0,,,,,0,0,1677721600,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,745.0580596923828,0.0,0.2694604194185833,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
5,Fwd-Attention-encoder-Attention-serving-prefill-q_wq_a_linear,"XlaEinsum(a=4x2048x5120,b=5120x1536,eq=BSM;MD->BSD,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdAttentionencoderAttentionservingprefillqwqalinearwqaxselfwqax,MXU,60,Compute,289149,289149,42030,0,0,0,0,0,0,0,0,289149,48188,0,0,124780544,"DT_BFLOAT16:[4,2048,5120],DT_BFLOAT16:[5120,1536]","[DT_BFLOAT16:(4,2048,1536)]",128849018880,FwdAttentionencoderAttentionservingprefillqwqalinearwqaxselfwqax,Einsum,15728640,[],Einsum,"BSM,MD->BSD","[[4, 2048, 5120], [5120, 1536], [4, 2048, 1536]]",1,45088768,30720,1,8192,1536,5120,0,289149,124780544,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,50973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,445.61461004533993,401.9067591449391,0.9770330436066509,0.1453550665985313,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
6,Fwd-Attention-encoder-Attention-serving-prefill-q_norm,"RMSNorm(x=4x2048x1536,memory_placements=0_0,type=DT_FLOAT32)",FwdAttentionencoderAttentionservingprefillqnormqnormwqaxselfqnormwqax,VPU,60,Memory,33906,7229,33906,0,0,0,0,0,0,0,0,0,7229,0,0,100663296,"DT_FLOAT32:[4,2048,1536]","[DT_FLOAT32:(4,2048,1536)]",75497472,FwdAttentionencoderAttentionservingprefillqnormqnormwqaxselfqnormwqax,RMSNorm,0,[],RMSNorm,,,,,0,,,,,0,7229,100663296,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,4051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2.2266699699168293,2764.997345602548,0.21318454828401015,0.9999990400009215,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
7,Fwd-Attention-encoder-Attention-serving-prefill-q_wq_b_linear,"XlaEinsum(a=4x2048x1536,b=1536x3072,eq=BSR;RD->BSD,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdAttentionencoderAttentionservingprefillqwqblinearqselfwqbqnormwqax,MXU,60,Compute,173497,173497,28609,0,0,0,0,0,0,0,0,173497,28912,0,0,84934656,"DT_BFLOAT16:[4,2048,1536],DT_BFLOAT16:[1536,3072]","[DT_BFLOAT16:(4,2048,3072)]",77309411328,FwdAttentionencoderAttentionservingprefillqwqblinearqselfwqbqnormwqax,Einsum,9437184,[],Einsum,"BSR,RD->BSD","[[4, 2048, 1536], [1536, 3072], [4, 2048, 3072]]",1,73400320,18432,1,8192,3072,1536,0,173497,84934656,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,30809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,445.5950899900286,455.9246701672075,0.9769902448773852,0.16489138161562658,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
8,Fwd-Attention-encoder-Attention-serving-prefill-apply_rotary_emb,"Mul(a=4x2048x16x64,b=4x2048x16x64,memory_placements=0_0_0,type=DT_FLOAT32)",FwdAttentionencoderAttentionservingprefillapplyrotaryembqpeapplyrotaryembqpefreqscis,VPU,60,Memory,22604,804,22604,0,0,0,0,0,0,0,0,0,804,0,0,67108864,"DT_FLOAT32:[4,2048,16,64]","[DT_FLOAT32:(4,2048,16,64)]",8388608,FwdAttentionencoderAttentionservingprefillapplyrotaryembqpeapplyrotaryembqpefreqscis,Mul,0,[],Mul,,,,,0,,,,,0,804,67108864,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.3711116616528048,2764.997345602548,0.035530758047335013,0.9999990400009215,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
9,Fwd-Attention-encoder-Attention-serving-prefill-kv_k_pe_linear,"XlaEinsum(a=4x2048x5120,b=5120x576,eq=BSM;MK->BSK,memory_placements=0_0_0,type=DT_BFLOAT16)",FwdAttentionencoderAttentionservingprefillkvkpelinearkvselfwkvaxkvkpetorchsplitkvselfkvlorarankselfqkropeheaddimdim1,MXU,60,Compute,120490,120490,33421,0,0,0,0,0,0,0,0,120490,20078,0,0,99221504,"DT_BFLOAT16:[4,2048,5120],DT_BFLOAT16:[5120,576]","[DT_BFLOAT16:(4,2048,576)]",48318382080,FwdAttentionencoderAttentionservingprefillkvkpelinearkvselfwkvaxkvkpetorchsplitkvselfkvlorarankselfqkropeheaddimdim1,Einsum,5898240,[],Einsum,"BSM,MK->BSK","[[4, 2048, 5120], [5120, 576], [4, 2048, 576]]",1,27394048,12800,1,8192,576,5120,0,120490,99221504,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,22293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,401.01570321188484,766.9285962528011,0.8792476373324121,0.27737019755978337,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
10,Fwd-Attention-encoder-Attention-serving-prefill-apply_rotary_emb,"Mul(a=4x2048x64,b=4x2048x64,memory_placements=0_0_0,type=DT_FLOAT32)",FwdAttentionencoderAttentionservingprefillapplyrotaryembkpeapplyrotaryembkpeunsqueeze2freqscis,VPU,60,Memory,1413,51,1413,0,0,0,0,0,0,0,0,0,51,0,0,4194304,"DT_FLOAT32:[4,2048,64]","[DT_FLOAT32:(4,2048,64)]",524288,FwdAttentionencoderAttentionservingprefillapplyrotaryembkpeapplyrotaryembkpeunsqueeze2freqscis,Mul,0,[],Mul,,,,,0,,,,,0,51,4194304,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.37104600141542815,2764.5081387119603,0.03552447164286804,0.9998221116498952,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
11,AllGatherKV-11,AllGather(4x2048x512->4x16384x512),AllGatherKV11AllGather,ICINoCompute,60,ICI/NVLink,104858,0,28255,104858,41943040,41943040,0,0,0,0,0,0,0,0,0,83886080,"DT_BFLOAT16:[4,2048,512]","[DT_BFLOAT16:(4,16384,512)]",0,AllGatherKV11AllGather,AllGather,0,[],AllGather,,,,,0,,,,,0,0,83886080,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,745.0552175322817,0.0,0.2694593915125793,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
